Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
10,Florida Panthers,Keaton Ellerby,CA,D,18,2015,Kamloops (WHL),212,4,23,27,-13,88,,,,,,,5.7
10,Vancouver Canucks,Cody Hodgson,CA,C,18,2016,Brampton (OHL),328,64,78,142,-54,68,,,,,,,13.2
10,Edmonton Oilers,Magnus Paajarvi,SE,LW,18,2019,Timra ( ),467,62,62,124,-54,78,,,,,,,7.7
10,New York Rangers,Dylan McIlrath,CA,D,18,2020,Moose Jaw (WHL),66,3,2,5,2,121,,,,,,,1.9
10,Minnesota Wild,Jonas Brodin,SE,D,18,2022,Farjestad (Sweden),651,43,147,190,56,190,,,,,,,42
10,Tampa Bay Lightning,Slater Koekkoek,CA,D,18,2022,Peterborough (OHL),186,8,26,34,1,104,,,,,,,5.9
10,Dallas Stars,Valeri Nichushkin,RU,RW,18,2022,Chelyabinsk (KHL),380,60,91,151,68,50,,,,,,,15.2
11,Los Angeles Kings,Lauri Tukonen,FI,RW,18,2008,Blues Espoo (Finland),5,0,0,0,-2,0,,,,,,,-0.1
11,Los Angeles Kings,Anze Kopitar,SI,C,18,2022,Sodertalje Jr. (Sweden-Jr.),1184,361,689,1050,62,314,,,,,,,115.7
11,Los Angeles Kings,Jonathan Bernier,CA,G,18,2022,Lewiston (QMJHL),404,0,8,8,0,14,404,165,163,40,0.912,2.78,68.4
11,Carolina Hurricanes,Brandon Sutter,US,C/RW,18,2021,Red Deer (WHL),770,152,137,289,-21,149,,,,,,,26.6
11,Chicago Blackhawks,Kyle Beach,CA,C,18,,Everett (WHL),,,,,,,,,,,,,
11,Nashville Predators,Ryan Ellis,CA,D,18,2022,Windsor (OHL),566,76,199,275,116,189,,,,,,,57.4
11,Dallas Stars,Jack Campbell,US,G,18,2022,USA U-18 (USHL),124,0,2,2,0,0,124,63,38,12,0.917,2.49,22.8
11,Colorado Avalanche,Duncan Siemens,CA,D,18,2018,Saskatoon (WHL),20,1,1,2,-7,25,,,,,,,0
11,Washington Capitals,Filip Forsberg,SE,C,18,2022,Leksand (Sweden-2),538,205,225,430,24,230,,,,,,,52.4
11,Philadelphia Flyers,Samuel Morin,CA,D,18,2021,Rimouski (QMJHL),29,1,0,1,-10,45,,,,,,,-0.3
12,Minnesota Wild,A.J. Thelen,US,D,18,,Michigan State (CCHA),,,,,,,,,,,,,
12,New York Rangers,Marc Staal,CA,D,18,2022,Sudbury (OHL),995,47,161,208,52,466,,,,,,,51.9
12,Atlanta Thrashers,Bryan Little,CA,RW,18,2020,Barrie (OHL),843,217,304,521,-15,293,,,,,,,52.6
12,Montreal Canadiens,Ryan McDonagh,US,D,18,2022,Cretin-Derham (High-MN),762,69,261,330,212,298,,,,,,,73.4
12,Buffalo Sabres,Tyler Myers,US,D,18,2022,Kelowna (WHL),814,87,233,320,6,616,,,,,,,60.9
12,New York Islanders,Calvin de Haan,CA,D,18,2022,Oshawa (OHL),500,16,100,116,5,185,,,,,,,22.6
12,Anaheim Ducks,Cam Fowler,CA,D,18,2022,Windsor (OHL),787,78,273,351,-59,213,,,,,,,58.9
12,Carolina Hurricanes,Ryan Murphy,CA,D,18,2019,Kitchener (OHL),175,8,35,43,-27,54,,,,,,,7.2
12,Buffalo Sabres,Mikhail Grigorenko,RU,C,18,2021,Quebec (QMJHL),249,26,50,76,-28,36,,,,,,,5
12,Phoenix Coyotes,Max Domi,CA,C/LW,18,2022,London (OHL),473,99,201,300,-15,405,,,,,,,28.4
13,Buffalo Sabres,Drew Stafford,US,RW,18,2019,North Dakota (WCHA),841,196,232,428,-58,415,,,,,,,43.6
13,Buffalo Sabres,Marek Zagrapan,SK,C,18,,Chicoutimi (QMJHL),,,,,,,,,,,,,
13,Toronto Maple Leafs,Jiri Tlusty,CZ,C,18,2016,Poldi Kladno (Czech),446,89,88,177,-12,126,,,,,,,19.2
13,St. Louis Blues,Lars Eller,DK,C,18,2022,Vastra Frolunda Jr. ( ),847,148,191,339,-24,505,,,,,,,29
13,Los Angeles Kings,Colten Teubert,CA,D,18,2012,Regina (WHL),24,0,1,1,-5,25,,,,,,,0
13,Buffalo Sabres,Zack Kassian,CA,RW,18,2022,Peterborough (OHL),587,89,107,196,-41,838,,,,,,,16.2
13,Phoenix Coyotes,Brandon Gormley,CA,D,18,2016,Moncton (QMJHL),58,2,3,5,-6,20,,,,,,,1.2
13,Calgary Flames,Sven Baertschi,CH,LW,18,2022,Portland (WHL),292,66,72,138,-34,78,,,,,,,14.5
13,Dallas Stars,Radek Faksa,CZ,C,18,2022,Kitchener (OHL),454,68,87,155,-12,281,,,,,,,11.7
13,Winnipeg Jets,Josh Morrissey,CA,D,18,2022,Prince Albert (WHL),395,34,117,151,25,184,,,,,,,26.6
14,Edmonton Oilers,Devan Dubnyk,CA,G,18,2021,Kamloops (WHL),542,0,8,8,0,46,542,253,206,54,0.914,2.61,93.8
14,Washington Capitals,Sasha Pokulok,CA,D,19,,Cornell (ECAC),,,,,,,,,,,,,
14,Vancouver Canucks,Michael Grabner,AT,RW,18,2020,Spokane (WHL),640,175,101,276,18,110,,,,,,,34.8
14,Colorado Avalanche,Kevin Shattenkirk,US,D,18,2022,U.S. National U-18 (USNTDP),790,92,332,424,0,454,,,,,,,72.9
14,Carolina Hurricanes,Zach Boychuk,CA,C,18,2015,Lethbridge (WHL),127,12,18,30,-3,16,,,,,,,2.3
14,Florida Panthers,Dmitry Kulikov,RU,D,18,2022,Drummondville (QMJHL),776,39,152,191,-50,482,,,,,,,34.1
14,St. Louis Blues,Jaden Schwartz,CA,C,18,2022,Tri-City (USHL),589,160,245,405,62,163,,,,,,,46.3
14,Dallas Stars,Jamie Oleksiak,CA,D,18,2022,Northeastern (H-East),415,25,59,84,-13,333,,,,,,,16.7
