Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
101,Atlanta Thrashers,Ivan Telegin,RU,LW,18,,Saginaw (OHL),,,,,,,,,,,,,
101,Vancouver Canucks,Joseph Labate,US,C,18,2017,Holy Angels (High-MN),13,0,0,0,-2,21,,,,,,,-0.2
101,Tampa Bay Lightning,Cedric Paquette,CA,C,19,2022,Blainville-Boisbriand (QMJHL),448,51,44,95,-20,391,,,,,,,5.2
101,Dallas Stars,Nicholas Paul,CA,LW,18,2022,Brampton (OHL),220,27,37,64,-29,73,,,,,,,3.1
102,Tampa Bay Lightning,Mike Lundin,US,D,19,2013,U. of Maine (H-East),252,4,32,36,-11,54,,,,,,,8.2
102,Tampa Bay Lightning,Blair Jones,CA,C,18,2015,Moose Jaw (WHL),132,7,10,17,-18,65,,,,,,,-0.3
102,Minnesota Wild,Kyle Medvec,US,D,18,,Apple Valley (High-MN),,,,,,,,,,,,,
102,Carolina Hurricanes,Justin McCrae,CA,C,18,,Saskatoon (WHL),,,,,,,,,,,,,
102,New York Islanders,David Ullstrom,SE,C,19,2013,HV 71 Jonkoping Jr. (Sweden-Jr.),49,6,7,13,-4,12,,,,,,,1.1
102,Nashville Predators,Mattias Ekholm,SE,D,19,2022,Mora (Sweden-2),636,54,180,234,95,301,,,,,,,49.4
102,Columbus Blue Jackets,Mathieu Corbeil,CA,G,18,,Halifax (QMJHL),,,,,,,,,,,,,
102,St. Louis Blues,Yannick Veilleux,CA,LW,18,,Shawinigan (QMJHL),,,,,,,,,,,,,
102,Phoenix Coyotes,Rhett Holland,CA,D,18,,Okotoks (AJHL),,,,,,,,,,,,,
102,Ottawa Senators,Tobias Lindberg,SE,RW,18,2016,Djurgarden Jr. (Sweden-Jr.),6,0,2,2,0,4,,,,,,,0.1
103,Phoenix Coyotes,Roman Tomanek,SI,RW,18,,Povazska Bystrica (Slovakia-2),,,,,,,,,,,,,
103,Detroit Red Wings,Mattias Ritola,SE,RW,18,2012,Leksand Jr. (Sweden-Jr.),43,4,5,9,-7,17,,,,,,,0.4
103,Florida Panthers,Michael Caruso,CA,D,18,2013,Guelph (OHL),2,0,0,0,-1,0,,,,,,,-0.1
103,Phoenix Coyotes,Vladimir Ruzicka,CZ,C,18,,Slavia Praha Jr. ( ),,,,,,,,,,,,,
103,Edmonton Oilers,Johan Motin,SE,D,18,2010,Bofors (Sweden-2),1,0,0,0,-1,0,,,,,,,-0.1
103,Minnesota Wild,Kris Foucault,CA,LW,18,2012,Calgary (WHL),1,0,0,0,0,0,,,,,,,0
103,Calgary Flames,John Ramage,CA,D,19,2016,Wisconsin (WCHA),2,0,0,0,-3,0,,,,,,,-0.2
103,Carolina Hurricanes,Gregory Hofmann,CH,C,18,2022,Ambri (Swiss),24,2,5,7,6,8,,,,,,,0.6
103,New York Islanders,Loic Leduc,CA,D,18,,Cape Breton (QMJHL),,,,,,,,,,,,,
103,Los Angeles Kings,Justin Auger,CA,RW,19,2018,Guelph (OHL),2,0,0,0,-1,0,,,,,,,-0.1
104,Dallas Stars,Fredrik Naslund,SE,LW,18,,Vasteras (Sweden-2),,,,,,,,,,,,,
104,Florida Panthers,Matt Duffy,US,D,19,,N.H. Jr. Monarchs (EJHL),,,,,,,,,,,,,
104,New York Rangers,David Kveton,CZ,RW,18,,Vsetin (Czech),,,,,,,,,,,,,
104,Toronto Maple Leafs,Ben Winnett,CA,LW,18,,Salmon Arm (BCHL),,,,,,,,,,,,,
104,Buffalo Sabres,Jordon Southorn,CA,D,18,,PEI (QMJHL),,,,,,,,,,,,,
104,Buffalo Sabres,Marcus Foligno,US,LW,18,2022,Sudbury (OHL),652,104,133,237,24,629,,,,,,,22.5
104,St. Louis Blues,Jani Hakanpaa,FI,D,18,2022,K-Vantaa U18 (Finland-Jr.),114,5,8,13,11,76,,,,,,,5
104,Calgary Flames,John Gaudreau,US,LW,18,2022,Dubuque (USHL),573,191,371,562,61,128,,,,,,,62.4
104,Dallas Stars,Gemel Smith,CA,C,18,2022,Owen Sound (OHL),91,12,13,25,1,58,,,,,,,2.5
104,Winnipeg Jets,Andrew Copp,US,C,19,2022,Michigan (CCHA),459,74,105,179,55,82,,,,,,,17
105,Florida Panthers,Evan Schafer,CA,D,18,,Prince Albert (WHL),,,,,,,,,,,,,
105,Phoenix Coyotes,Keith Yandle,US,D,19,2022,Cushing Academy (High-MA),1086,103,512,615,-87,612,,,,,,,90.8
105,Nashville Predators,Niko Snellman,FI,LW,18,,Ilves Tampere Jr. (Finland-Jr.),,,,,,,,,,,,,
105,Colorado Avalanche,Brad Malone,CA,C/LW,18,2022,Sioux Falls (USHL),201,13,17,30,-31,198,,,,,,,0.8
105,Carolina Hurricanes,Michal Jordan,CZ,D,18,2016,Plymouth (OHL),79,3,4,7,-14,18,,,,,,,1.8
105,Phoenix Coyotes,Justin Weller,CA,D,18,,Red Deer (WHL),,,,,,,,,,,,,
105,Carolina Hurricanes,Justin Shugg,CA,LW,18,2015,Windsor (OHL),3,0,0,0,0,2,,,,,,,0
105,Dallas Stars,Emil Molin,SE,RW,18,,Brynas Jr. (Sweden-Jr.),,,,,,,,,,,,,
105,Calgary Flames,Brett Kulak,CA,D,18,2022,Vancouver (WCHL),309,12,42,54,-3,133,,,,,,,10.9
105,Columbus Blue Jackets,Nick Moutrey,CA,C/LW,18,,Saginaw (OHL),,,,,,,,,,,,,
106,Atlanta Thrashers,Chad Painchaud,CA,LW,18,,Mississauga (OHL),,,,,,,,,,,,,
106,Boston Bruins,Vladimir Sobotka,CZ,C,18,2020,Slavia Praha (Czech-2),548,53,118,171,-22,362,,,,,,,10.8
106,St. Louis Blues,Reto Berra,CH,G,19,2018,Zurich ( ),76,0,1,1,0,4,76,20,36,4,0.905,2.85,8.9
106,New York Islanders,Maxim Gratchev,RU,LW,18,,Rimouski (QMJHL),,,,,,,,,,,,,
106,San Jose Sharks,Harri Sateri,FI,G,18,2018,Tappara Tampere Jr. (Finland-Jr.),9,0,0,0,0,0,9,4,4,0,0.911,2.92,1.5
106,Anaheim Ducks,Sami Vatanen,FI,D,18,2021,JYP HT Jyvaskyla Jr. ( ),473,47,153,200,-5,212,,,,,,,36.2
106,Ottawa Senators,Marcus Sorensen,SE,RW,18,2021,Sodertalje Jr. (Sweden-Jr.),226,31,33,64,-13,74,,,,,,,4.5
106,New York Rangers,Michael St. Croix,CA,C,18,,Edmonton (WHL),,,,,,,,,,,,,
106,Ottawa Senators,Timothy Boyle,US,D,19,,Nobles (High-MA),,,,,,,,,,,,,
106,New York Islanders,Stephon Williams,US,G,20,,Minnesota State (WCHA),,,,,,,,,,,,,
107,Nashville Predators,Nick Fugere,CA,LW,18,,Gatineau (QMJHL),,,,,,,,,,,,,
107,New York Rangers,Tom Pyatt,CA,C,18,2019,Saginaw (OHL),445,43,58,101,-41,71,,,,,,,3.7
107,New Jersey Devils,Tyler Miller,US,D,20,,Penticton (BCHL),,,,,,,,,,,,,
107,Tampa Bay Lightning,Mitch Fadden,CA,C,19,,Lethbridge (WHL),,,,,,,,,,,,,
107,Columbus Blue Jackets,Steven Delisle,CA,D,18,,Gatineau (QMJHL),,,,,,,,,,,,,
107,Florida Panthers,Garrett Wilson,CA,LW,18,2019,Owen Sound (OHL),84,2,6,8,-4,42,,,,,,,-0.4
107,Colorado Avalanche,Sami Aittokallio,FI,G,18,2014,Ilves Jr. (Finland-Jr.),2,0,0,0,0,0,2,0,1,0,0.884,3.36,0.1
107,Buffalo Sabres,Colin Jacobs,US,C,18,,Seattle (WHL),,,,,,,,,,,,,
107,Washington Capitals,Austin Wuthrich,US,RW,19,,Notre Dame (CCHA),,,,,,,,,,,,,
107,Minnesota Wild,Dylan Labbe,CA,D,18,,Shawinigan (QMJHL),,,,,,,,,,,,,
108,Boston Bruins,Ashton Rome,CA,RW,18,,Moose Jaw (WHL),,,,,,,,,,,,,
108,Chicago Blackhawks,Niklas Hjalmarsson,SE,D,18,2021,HV 71 Jonkoping Jr. (Sweden-Jr.),821,25,147,172,106,332,,,,,,,44.8
108,New York Islanders,Jase Weslosky,CA,G,18,,Sherwood Park ( ),,,,,,,,,,,,,
108,Washington Capitals,Brett Bruneteau,US,C,18,,Omaha (USHL),,,,,,,,,,,,,
108,Calgary Flames,Nicholas Larson,US,LW,18,,Waterloo (USHL),,,,,,,,,,,,,
108,St. Louis Blues,Tyler Shattock,CA,RW,19,,Kamloops (WHL),,,,,,,,,,,,,
108,Calgary Flames,Bill Arnold,US,C,18,2014,USA U-18 (USHL),1,0,0,0,-1,0,,,,,,,-0.1
108,Montreal Canadiens,Olivier Archambault,CA,LW,18,,Val-d'Or (QMJHL),,,,,,,,,,,,,
108,Anaheim Ducks,Andrew O'Brien,CA,D,19,,Chicoutimi (QMJHL),,,,,,,,,,,,,
108,Ottawa Senators,Ben Harpur,CA,D,18,2022,Guelph (OHL),148,1,14,15,-40,116,,,,,,,0.8
109,Carolina Hurricanes,Brett Carson,CA,D,18,2013,Calgary (WHL),90,2,11,13,8,20,,,,,,,3.6
109,Washington Capitals,Andrew Thomas,US,D,19,,Denver (WCHA),,,,,,,,,,,,,
109,Philadelphia Flyers,Jakub Kovar,CZ,G,18,,Ceske Budejovice Jr. ( ),,,,,,,,,,,,,
109,Los Angeles Kings,Dwight King,CA,LW,18,2017,Lethbridge (WHL),365,53,56,109,3,98,,,,,,,10.3
109,Ottawa Senators,Andre Petersson,SE,RW,18,2012,HV 71 Jonkoping Jr. (Sweden-Jr.),1,0,0,0,0,0,,,,,,,0
109,Montreal Canadiens,Alexander Avtsin,RU,RW,18,,Dynamo-2 Moscow (Russia-3),,,,,,,,,,,,,
109,Dallas Stars,Alex Theriau,CA,D,18,,Everett (WHL),,,,,,,,,,,,,
109,Chicago Blackhawks,Maxim Shalunov,RU,RW,18,,Chelyabinsk Jr. (Russia-Jr.),,,,,,,,,,,,,
109,San Jose Sharks,Christophe Lalancette,CA,RW,18,,Acadie-Bathurst (QMJHL),,,,,,,,,,,,,
109,Detroit Red Wings,David Pope,CA,LW,18,,West Kelowna (BCHL),,,,,,,,,,,,,
110,Los Angeles Kings,Ned Lukacevic,ME,LW,18,,Spokane (WHL),,,,,,,,,,,,,
110,Minnesota Wild,Kyle Bailey,CA,C,18,,Portland (WHL),,,,,,,,,,,,,
110,Colorado Avalanche,Kevin Montgomery,US,D,18,,U.S. National U-18 (USNTDP),,,,,,,,,,,,,
110,Minnesota Wild,Justin Falk,CA,D,18,2019,Spokane (WHL),279,3,30,33,-63,219,,,,,,,4.2
110,Colorado Avalanche,Kelsey Tessier,CA,C,18,,Quebec (QMJHL),,,,,,,,,,,,,
110,Nashville Predators,Nick Oliver,US,C/LW,18,,Roseau (High-MN),,,,,,,,,,,,,
110,Pittsburgh Penguins,Tom Kuhnhackl,DE,C,18,2020,Landshut Cann. (German-2),232,18,36,54,2,60,,,,,,,3.2
110,Los Angeles Kings,Michael Mersch,US,LW,18,2016,Wisconsin (WCHA),17,1,2,3,1,0,,,,,,,0.2
110,Detroit Red Wings,Andreas Athanasiou,CA,C/LW,18,2022,London (OHL),369,99,89,188,-84,146,,,,,,,18.4
110,New York Rangers,Ryan Graves,CA,D,18,2022,PEI (QMJHL),198,18,50,68,57,122,,,,,,,15.3
111,Minnesota Wild,Ryan Jones,CA,RW,20,2014,Chatham (GOJHL),334,54,46,100,-11,181,,,,,,,9.3
111,Calgary Flames,J.D. Watt,CA,RW,18,,Vancouver (WCHL),,,,,,,,,,,,,
111,Toronto Maple Leafs,Korbinian Holzer,DE,D,18,2020,Bad Tolz ( ),206,6,21,27,-13,139,,,,,,,5.8
111,Pittsburgh Penguins,Luca Caputi,CA,LW,18,2011,Mississauga (OHL),35,3,6,9,-4,20,,,,,,,0.3
111,New York Rangers,Dale Weise,CA,RW,20,2020,Swift Current (WHL),513,55,70,125,6,355,,,,,,,10.9
111,Calgary Flames,Henrik Bjorklund,SE,RW,18,,Skare (Sweden-3),,,,,,,,,,,,,
111,Detroit Red Wings,Teemu Pulkkinen,FI,LW,18,2017,Jokerit (Finland),83,13,9,22,5,32,,,,,,,2.6
111,Phoenix Coyotes,Kale Kessy,CA,LW,18,,Medicine Hat (WHL),,,,,,,,,,,,,
111,Philadelphia Flyers,Fredric Larsson,SE,D,18,,Brynas Jr. (Sweden-Jr.),,,,,,,,,,,,,
111,Chicago Blackhawks,Robin Norell,SE,D,18,,Djurgarden Jr. (Sweden-Jr.),,,,,,,,,,,,,
112,Edmonton Oilers,Liam Reddox,CA,LW,18,2011,Peterborough (OHL),100,6,18,24,-17,34,,,,,,,0.2
112,San Jose Sharks,Alex Stalock,US,G,18,2020,Cedar Rapids (USHL),151,0,4,4,0,12,151,61,49,18,0.909,2.61,21.2
112,Anaheim Ducks,Matt Beleskey,CA,LW,18,2019,Belleville (OHL),477,76,82,158,-11,440,,,,,,,14.6
112,Dallas Stars,Colton Sceviour,CA,C/RW,18,2022,Portland (WHL),533,66,90,156,-15,136,,,,,,,11.4
112,New Jersey Devils,Matt Delahey,CA,D,18,,Regina (WHL),,,,,,,,,,,,,
112,Boston Bruins,Lane MacDermid,US,LW,20,2014,Windsor (OHL),21,2,2,4,0,36,,,,,,,0.6
112,Washington Capitals,Philipp Grubauer,DE,G,18,2022,Windsor (OHL),255,0,4,4,0,2,255,121,84,26,0.915,2.47,42.6
112,Nashville Predators,Garrett Noonan,US,D,20,,Boston University (H-East),,,,,,,,,,,,,
112,Nashville Predators,Zach Stepan,US,C,18,,Shattuck-St. Mary's (High-MN),,,,,,,,,,,,,
112,St. Louis Blues,Zach Pochiro,US,LW,19,,Prince George (WHL),,,,,,,,,,,,,
113,Toronto Maple Leafs,Roman Kukumberg,SK,C,24,,Dukla Trencin (Slovakia),,,,,,,,,,,,,
113,Chicago Blackhawks,Nathan Davis,US,C/LW,19,,Miami (Ohio) (CCHA),,,,,,,,,,,,,
113,Columbus Blue Jackets,Ben Wright,CA,D,18,,Lethbridge (WHL),,,,,,,,,,,,,
113,Colorado Avalanche,Kent Patterson,US,G,18,,Cedar Rapids (USHL),,,,,,,,,,,,,
113,Anaheim Ducks,Ryan Hegarty,US,D,18,,U.S. National U-18 (USNTDP),,,,,,,,,,,,,
113,Vancouver Canucks,Jeremy Price,CA,D,18,,Nepean (CJHL),,,,,,,,,,,,,
113,Montreal Canadiens,Mark MacMillan,CA,F,18,,Alberni Valley (BCHL),,,,,,,,,,,,,
113,Montreal Canadiens,Magnus Nygren,SE,D,21,,Farjestad (Sweden),,,,,,,,,,,,,
113,Pittsburgh Penguins,Sean Maguire,CA,G,19,,Powell River (BCHL),,,,,,,,,,,,,
113,Edmonton Oilers,Aidan Muir,CA,W,18,,Victory Honda Midget (MWEHL),,,,,,,,,,,,,
114,Minnesota Wild,Patrick Bordeleau,CA,LW,18,2015,Val d'Or (QMJHL),129,8,8,16,-8,185,,,,,,,0.7
114,Vancouver Canucks,Alexandre Vincent,CA,G,18,,Chicoutimi (QMJHL),,,,,,,,,,,,,
114,Los Angeles Kings,Niclas Andersen,SE,D,18,,Leksand ( ),,,,,,,,,,,,,
114,Nashville Predators,Ben Ryan,US,C,18,,Des Moines (USHL),,,,,,,,,,,,,
114,Calgary Flames,T.J. Brodie,CA,D,18,2022,Saginaw (OHL),744,53,241,294,51,228,,,,,,,55.4
114,New Jersey Devils,Seth Helgeson,US,D,18,2017,Sioux City (USHL),50,1,3,4,1,50,,,,,,,1.7
114,New Jersey Devils,Joe Faust,US,D,18,,Bloomington-Jeff. (High-MN),,,,,,,,,,,,,
114,Edmonton Oilers,Tobias Rieder,DE,C,18,2021,Kitchener (OHL),478,64,81,145,-89,52,,,,,,,8
114,Florida Panthers,Alexander Delnov,RU,LW,18,,Mytischi 2 (Russia-Jr.),,,,,,,,,,,,,
114,Winnipeg Jets,Jan Kostalek,CZ,D,18,,Rimouski (QMJHL),,,,,,,,,,,,,
115,New York Islanders,Wes O'Neill,CA,D,18,2010,Notre Dame (CCHA),5,0,0,0,-1,6,,,,,,,0
115,Ottawa Senators,Janne Kolehmainen,FI,LW,19,,SaiPa (Finland),,,,,,,,,,,,,
115,New York Islanders,Tomas Marcinko,SK,C,18,,Kosice ( ),,,,,,,,,,,,,
115,Atlanta Thrashers,Niclas Lucenius,FI,C,18,,Tappara Tampere Jr. (Finland-Jr.),,,,,,,,,,,,,
115,Minnesota Wild,Sean Lorenz,CA,D,18,,U.S. National U-18 (USNTDP),,,,,,,,,,,,,
115,Washington Capitals,Patrick Wey,US,D,18,2014,Waterloo (USHL),9,0,3,3,0,5,,,,,,,0.4
115,Vancouver Canucks,Patrick McNally,US,D,18,,Milton Academy (High-MA),,,,,,,,,,,,,
115,Detroit Red Wings,Marek Tvrdon,SK,RW,18,,Vancouver (WCHL),,,,,,,,,,,,,
115,Carolina Hurricanes,Trevor Carrick,CA,D,18,2020,Mississauga St. Michael's (OHL),7,0,0,0,-2,12,,,,,,,-0.1
115,Vancouver Canucks,Jordan Subban,CA,D,18,,Belleville (OHL),,,,,,,,,,,,,
116,St. Louis Blues,Michal Birner,CZ,LW,18,,Praha Slava Jr. (Czech-Jr.),,,,,,,,,,,,,
116,Atlanta Thrashers,Jordan Smotherman,US,LW,19,2009,Quebec (QMJHL),4,1,1,2,1,0,,,,,,,0.3
116,Florida Panthers,Derrick Lapoint,US,D,18,,Eau Claire North (High-WI),,,,,,,,,,,,,
116,Calgary Flames,Keith Aulie,CA,D,18,2015,Brandon (WHL),167,4,10,14,-13,196,,,,,,,2.6
116,Montreal Canadiens,Jason Missiaen,CA,G,18,,Peterborough (OHL),,,,,,,,,,,,,
116,Minnesota Wild,Alex Fallstrom,SE,RW,19,,Shattuck-St. Mary's (High-MN),,,,,,,,,,,,,
116,Toronto Maple Leafs,Petter Granberg,SE,D,18,2017,Skelleftea Jr. (Sweden-Jr.),45,0,2,2,2,29,,,,,,,0.9
116,Philadelphia Flyers,Colin Suellentrop,US,D,18,,Oshawa (OHL),,,,,,,,,,,,,
116,St. Louis Blues,Nicholas Walters,CA,D,18,,Everett (WHL),,,,,,,,,,,,,
116,Montreal Canadiens,Martin Reway,CZ,LW,18,,Gatineau (QMJHL),,,,,,,,,,,,,
117,Minnesota Wild,Julien Sprunger,CH,RW,18,,Fribourg,,,,,,,,,,,,,
117,Chicago Blackhawks,Denis Istomin,RU,RW,18,,Chelyabinsk (Russia-2),,,,,,,,,,,,,
117,Buffalo Sabres,Felix Schutz,DE,C,18,,Saint John (QMJHL),,,,,,,,,,,,,
117,New Jersey Devils,Matt Halischuk,CA,RW,19,2016,Kitchener (OHL),280,33,42,75,13,57,,,,,,,7.4
117,Tampa Bay Lightning,James Wright,CA,C,18,2014,Vancouver (WCHL),146,4,8,12,-19,64,,,,,,,-1.8
117,Atlanta Thrashers,Eddie Pasquale,CA,G,18,2019,Saginaw (OHL),3,0,0,0,0,0,3,2,1,0,0.882,3.96,0.3
117,Montreal Canadiens,Morgan Ellis,CA,D,18,2016,Cape Breton (QMJHL),3,0,0,0,0,2,,,,,,,0
117,Washington Capitals,Steffen Soberg,NO,G,18,,Manglerud (Norway),,,,,,,,,,,,,
117,Philadelphia Flyers,Taylor Leier,CA,LW,18,2018,Portland (WHL),55,2,5,7,-8,10,,,,,,,-0.3
117,San Jose Sharks,Fredrik Bergvik,SE,G,18,,Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,,
118,Calgary Flames,Aki Seitsonen,FI,C,18,,Prince Albert (WHL),,,,,,,,,,,,,
118,Washington Capitals,Patrick McNeill,CA,D,18,,Saginaw (OHL),,,,,,,,,,,,,
118,Calgary Flames,Hugo Carpentier,CA,C,18,,Rouyn Noranda (QMJHL),,,,,,,,,,,,,
118,Pittsburgh Penguins,Alex Grant,CA,D,18,2016,Saint John (QMJHL),7,2,0,2,1,9,,,,,,,0.6
118,Columbus Blue Jackets,Drew Olson,US,F,18,,Brainerd (High-MN),,,,,,,,,,,,,
118,Tampa Bay Lightning,Jimmy Mullin,US,RW,18,,Shattuck St. Mary's (High-MN),,,,,,,,,,,,,
118,Philadelphia Flyers,Marcel Noebels,DE,LW,19,,Seattle (WHL),,,,,,,,,,,,,
118,Nashville Predators,Mikko Vainonen,FI,D,18,,HIFK Jr. (Finland-Jr.),,,,,,,,,,,,,
118,Los Angeles Kings,Hudson Fasching,US,RW,18,2022,USA U-18 (USHL),34,1,2,3,-4,8,,,,,,,-0.2
119,Phoenix Coyotes,Kevin Porter,US,C,18,2017,U.S. National U-18 (USNTDP),249,29,29,58,-27,60,,,,,,,2.8
119,Philadelphia Flyers,Jeremy Duchesne,US,G,18,2010,Halifax (QMJHL),1,0,0,0,0,0,1,0,0,0,0.75,3.59,-0.1
119,New York Islanders,Doug Rogers,US,C,18,,St. Sebastian's (High-MA),,,,,,,,,,,,,
119,Nashville Predators,Mark Santorelli,CA,C,19,,Chilliwack (WHL),,,,,,,,,,,,,
119,Ottawa Senators,Derek Grant,CA,C,18,2022,Langley (BCHL),358,45,54,99,-33,135,,,,,,,6.6
119,Chicago Blackhawks,Byron Froese,CA,C,18,2021,Everett (WHL),116,6,11,17,-13,49,,,,,,,-0.3
119,Philadelphia Flyers,Tye McGinn,CA,LW,20,2016,Gatineau (QMJHL),89,9,8,17,-1,44,,,,,,,1.3
119,Winnipeg Jets,Zachary Yuen,CA,D,18,,Tri-City (WHL),,,,,,,,,,,,,
119,New York Rangers,Calle Andersson,SE,D,18,,Farjestad Jr. (Sweden-Jr.),,,,,,,,,,,,,
119,Pittsburgh Penguins,Ryan Segalla,US,D,18,,Salisbury (HIGH-CT),,,,,,,,,,,,,
120,Chicago Blackhawks,Mitch Maunu,CA,D,18,,Windsor (OHL),,,,,,,,,,,,,
120,Edmonton Oilers,Viacheslav Trukhno,RU,LW,18,,Prince Edward (QMJHL),,,,,,,,,,,,,
120,Dallas Stars,Richard Bachman,US,G,19,2019,Cushing Academy (High-MA),48,0,1,1,0,0,48,20,18,2,0.903,2.97,6.1
120,Ottawa Senators,Ben Blood,US,D,18,,Shattuck-St. Mary's (High-MN),,,,,,,,,,,,,
120,Pittsburgh Penguins,Nathan Moon,CA,C,18,,Kingston (OHL),,,,,,,,,,,,,
120,Atlanta Thrashers,Ben Chiarot,CA,D,18,2022,Guelph (OHL),465,29,78,107,-14,341,,,,,,,19
120,Chicago Blackhawks,Rob Flick,CA,C,19,,Mississauga (OHL),,,,,,,,,,,,,
120,Vancouver Canucks,Ludwig Blomstrand,SE,LW,18,,Djurgarden Jr. (Sweden-Jr.),,,,,,,,,,,,,
120,Carolina Hurricanes,Jaccob Slavin,US,D,18,2022,Chicago (USHL),481,35,160,195,90,70,,,,,,,43.4
120,Boston Bruins,Ryan Fitzgerald,US,C,18,,Valley (EJHL),,,,,,,,,,,,,
121,Calgary Flames,Kris Hogg,CA,LW,18,,Kamloops (WHL),,,,,,,,,,,,,
121,Montreal Canadiens,Juraj Mikus,SK,RW,18,,Skalica (Slovakia),,,,,,,,,,,,,
121,Ottawa Senators,Pierre-Luc Lessard,CA,D,18,,Gatineau (QMJHL),,,,,,,,,,,,,
121,Anaheim Ducks,Mattias Modig,SE,G,20,,Lulea (Sweden),,,,,,,,,,,,,
121,Detroit Red Wings,Gustav Nyquist,SE,RW,19,2022,Malmo Jr. ( ),624,159,220,379,3,158,,,,,,,41
121,Pittsburgh Penguins,Nick Petersen,CA,RW,20,,Shawinigan (QMJHL),,,,,,,,,,,,,
121,Edmonton Oilers,Tyler Bunz,CA,G,18,2015,Medicine Hat (WHL),1,0,0,0,0,0,1,0,0,0,0.75,9,-0.2
121,Boston Bruins,Brian Ferlin,US,RW,19,2015,Indiana (USHL),7,0,1,1,0,0,,,,,,,0
121,Los Angeles Kings,Nikolai Prokhorkin,RU,LW,18,2020,CSKA 2 (Russia-Jr.),43,4,10,14,-6,6,,,,,,,0.8
121,Chicago Blackhawks,Tyler Motte,US,C,18,2022,USA U-18 (USHL),252,34,26,60,-20,70,,,,,,,3.7
122,Ottawa Senators,Alexander Nikulin,RU,C,19,2009,CSKA Moscow 2 (Russia),3,0,0,0,-3,0,,,,,,,-0.2
122,Minnesota Wild,Morten Madsen,DK,RW,18,,Vastra Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,,
122,Washington Capitals,Luke Lynes,US,C,18,,Brampton (OHL),,,,,,,,,,,,,
122,Philadelphia Flyers,Mario Kempe,SE,C,18,2019,St. John's (QMJHL),70,6,7,13,4,22,,,,,,,1.1
122,Tampa Bay Lightning,Dustin Tokarski,CA,G,18,2022,Spokane (WHL),66,0,3,3,0,2,66,17,28,11,0.902,3.15,9.1
122,New York Islanders,Anton Klementyev,RU,D,19,2010,Lokomotiv Yaroslavl 2 (Russia-3),1,0,0,0,0,0,,,,,,,0
122,Anaheim Ducks,Chris Wagner,US,C,19,2021,South Shore (EJHL),358,37,26,63,-26,195,,,,,,,2.5
122,Edmonton Oilers,Martin Gernat,SK,D,18,,Kosice Jr. (Slovak-Jr.),,,,,,,,,,,,,
122,Montreal Canadiens,Charles Hudon,CA,LW,18,2020,Chicoutimi (QMJHL),125,14,27,41,-27,56,,,,,,,2.1
122,Florida Panthers,Christopher Clapperton,CA,LW,19,,Blainville-Boisbriand (QMJHL),,,,,,,,,,,,,
123,Chicago Blackhawks,Karel Hromas,CZ,LW,18,,Sparta Praha Jr. (Czech-Jr.),,,,,,,,,,,,,
123,Carolina Hurricanes,Ondrej Otcenas,SK,C,18,,Dukla Trencin Jr. (Slovak-Jr.),,,,,,,,,,,,,
123,Carolina Hurricanes,Bobby Hughes,CA,C,18,,Kingston (OHL),,,,,,,,,,,,,
123,Phoenix Coyotes,Maxim Goncharov,RU,D,18,,CSKA Moscow (Russia),,,,,,,,,,,,,
123,Los Angeles Kings,Andrei Loktionov,RU,C,18,2014,Lokomotiv Yaroslavl 2 (Russia-3),155,22,26,48,-6,22,,,,,,,4.7
123,Pittsburgh Penguins,Alex Velischek,CA,D,18,,Delbarton (High-NJ),,,,,,,,,,,,,
123,Florida Panthers,Zach Hyman,CA,C,18,2022,Hamilton (CCHL),394,105,116,221,70,227,,,,,,,23.2
123,Colorado Avalanche,Garrett Meurs,CA,C,18,,Plymouth (OHL),,,,,,,,,,,,,
123,Edmonton Oilers,Joey Laleggia,CA,D,20,,Denver (WCHA),,,,,,,,,,,,,
123,Colorado Avalanche,Will Butcher,US,D,18,2022,USA U-18 (USHL),269,15,96,111,-37,34,,,,,,,15.6
124,Philadelphia Flyers,David Laliberte,CA,RW,18,2010,PEI (QMJHL),11,2,1,3,1,6,,,,,,,0.4
124,Colorado Avalanche,Ray Macias,US,D,18,2011,Kamloops (WHL),8,0,1,1,-1,2,,,,,,,0.2
124,St. Louis Blues,Andy Sackrison,US,C,18,,St. Louis Park (High-MN),,,,,,,,,,,,,
124,Los Angeles Kings,Linden Rowat,CA,G,18,,Regina (WHL),,,,,,,,,,,,,
124,Atlanta Thrashers,Nicklas Lasu,SE,LW,18,,Vastra Frolunda Jr. ( ),,,,,,,,,,,,,
124,Colorado Avalanche,Kieran Millan,CA,G,20,,Boston University ( ),,,,,,,,,,,,,
124,Columbus Blue Jackets,Austin Madaisky,CA,D,18,,Kamloops (WHL),,,,,,,,,,,,,
124,Florida Panthers,Yaroslav Kosov,RU,C,18,,Magnitogorsk Jr. (Russia-Jr.),,,,,,,,,,,,,
124,Calgary Flames,Ryan Culkin,CA,D,18,,Quebec (QMJHL),,,,,,,,,,,,,
124,Tampa Bay Lightning,Kristers Gudlevskis,LV,G,21,2017,Riga 2 (Russia-Jr.),3,0,0,0,0,0,3,1,0,1,0.959,1.37,0.8
125,Vancouver Canucks,Andrew Sarauer,CA,LW,19,,Langley (BCHL),,,,,,,,,,,,,
